PS Code,Regional c,PS Name,ConstCode,DistCode,RegCode,EACode,Latitude,Longitude,Plus code,GhPostGPS
H010101,H,D/A PRIM. SCH.KAMIREKROM,H0101,GH0102,GH01,H01010,6.5294782,-2.4999918,6CRVGGH2+Q2R3,#
H010102,H,D/A JHS KAMIREKROM,H0101,GH0102,GH01,H01010,6.5294782,-2.4999918,6CRVGGH2+Q2R3,#
H010103,H,COCOA SHED ADOMAKOKROM,H0101,GH0102,GH01,H01010,6.5294782,-2.4999918,6CRVGGH2+Q2R3,#
H010104,H,D/A PRIM. SCH. MFREKROM,H0101,GH0102,GH01,H01010,6.5294782,-2.4999918,6CRVGGH2+Q2R3,#
H010105,H,D/A PRIM. SCH. DOMEABRA,H0101,GH0102,GH01,H01010,6.5294782,-2.4999918,6CRVGGH2+Q2R3,#
H010201,H,ANGLICAN PRIM. SCH. KUKUOM,H0101,GH0102,GH01,H01020,6.6925346,-2.4431102,6CRVMHV4+2Q67,#
H010202,H,BETHANY  CHURCH KUKUOM,H0101,GH0102,GH01,H01020,6.6925346,-2.4431102,6CRVMHV4+2Q67,#
H010203,H,ISLAMIC PRIM. SCH. KUKUOM,H0101,GH0102,GH01,H01020,6.6925346,-2.4431102,6CRVMHV4+2Q67,#
H010204,H,AGRIC. SHS KUKUOM,H0101,GH0102,GH01,H01020,6.68733,-2.4312555,6CRVMHP9+WFQ9,#
H010205,H,PBC KUKUOM,H0101,GH0102,GH01,H01020,6.6925346,-2.4431102,6CRVMHV4+2Q67,#
H010206,H,CMB SHED KUKUOM,H0101,GH0102,GH01,H01020,6.6925346,-2.4431102,6CRVMHV4+2Q67,#
H010207,H,NEW APOSTOLIC PRIM. SCH. KUKUOM,H0101,GH0102,GH01,H01020,6.6925346,-2.4431102,6CRVMHV4+2Q67,#
H010301,H,METH. PRIM. SCH. KUKUOM,H0101,GH0102,GH01,H01030,6.6925346,-2.4431102,6CRVMHV4+2Q67,#
H010302,H,SDA PRIM. SCH. KUKUOM,H0101,GH0102,GH01,H01030,6.6925346,-2.4431102,6CRVMHV4+2Q67,#
H010303,H,R/C PRIM. SCH. KUKUOM,H0101,GH0102,GH01,H01030,6.6925346,-2.4431102,6CRVMHV4+2Q67,#
